try,block_size,grid_size,iterations,concentration,setuptime,runtime,teardowntime
1,16,6000,500,1.000000,0.186288,0.100657,0.018694
2,16,6000,500,1.000000,0.191779,0.099741,0.018231
0,32,6000,500,1.000000,0.187082,0.100082,0.018415
1,32,6000,500,1.000000,0.190987,0.103325,0.018480
2,32,6000,500,1.000000,0.192443,0.111231,0.019212
0,4,6000,1000,1.000000,0.187373,0.100316,0.018862
1,4,6000,1000,1.000000,0.189446,0.099344,0.020393
2,4,6000,1000,1.000000,0.188697,0.106002,0.018534
0,8,6000,1000,1.000000,0.187725,0.099422,0.018723
1,8,6000,1000,1.000000,0.189550,0.100254,0.018968
2,8,6000,1000,1.000000,0.193223,0.099305,0.029595
0,16,6000,1000,1.000000,0.190001,0.099247,0.018685
1,16,6000,1000,1.000000,0.188710,0.098621,0.018300
2,16,6000,1000,1.000000,0.187333,0.100055,0.019150
0,32,6000,1000,1.000000,0.192847,0.101448,0.018561
1,32,6000,1000,1.000000,0.188245,0.102250,0.018490
2,32,6000,1000,1.000000,0.188777,0.101122,0.018466
0,4,6000,1500,1.000000,0.188413,0.102427,0.019835
1,4,6000,1500,1.000000,0.188584,0.113813,0.021148
2,4,6000,1500,1.000000,0.189498,0.102559,0.018438
0,8,6000,1500,1.000000,0.187455,0.106589,0.018435
1,8,6000,1500,1.000000,0.188189,0.100595,0.018378
2,8,6000,1500,1.000000,0.187037,0.099958,0.018446
0,16,6000,1500,1.000000,0.188615,0.099849,0.018749
1,16,6000,1500,1.000000,0.191471,0.100768,0.018568
2,16,6000,1500,1.000000,0.188794,0.100277,0.018475
0,32,6000,1500,1.000000,0.187124,0.101655,0.018358
1,32,6000,1500,1.000000,0.193325,0.100209,0.018305
2,32,6000,1500,1.000000,0.187918,0.100502,0.018569
0,4,6000,2000,1.000000,0.186209,0.099480,0.018764
1,4,6000,2000,1.000000,0.186715,0.105366,0.018256
2,4,6000,2000,1.000000,0.204899,0.131178,0.029364
0,8,6000,2000,1.000000,0.210710,0.127809,0.032487
1,8,6000,2000,1.000000,0.213477,0.140029,0.032540
2,8,6000,2000,1.000000,0.210597,0.128376,0.033445
0,16,6000,2000,1.000000,0.211140,0.128694,0.031434
1,16,6000,2000,1.000000,0.214418,0.125893,0.031594
2,16,6000,2000,1.000000,0.204334,0.100369,0.018818
0,32,6000,2000,1.000000,0.186458,0.099673,0.020204
1,32,6000,2000,1.000000,0.187373,0.106274,0.018545
2,32,6000,2000,1.000000,0.188115,0.101468,0.020596
0,4,6000,2500,1.000000,0.198501,0.101677,0.018442
1,4,6000,2500,1.000000,0.193574,0.103276,0.025748
2,4,6000,2500,1.000000,0.188770,0.101439,0.018196
0,8,6000,2500,1.000000,0.187697,0.102734,0.018261
1,8,6000,2500,1.000000,0.187580,0.101535,0.018653
2,8,6000,2500,1.000000,0.190626,0.100177,0.018057
0,16,6000,2500,1.000000,0.186430,0.100727,0.018264
1,16,6000,2500,1.000000,0.186003,0.102587,0.018922
2,16,6000,2500,1.000000,0.190377,0.102742,0.018654
0,32,6000,2500,1.000000,0.187660,0.101738,0.018417
1,32,6000,2500,1.000000,0.188348,0.101513,0.018662
2,32,6000,2500,1.000000,0.189435,0.106152,0.019096
0,4,8000,500,1.000000,0.336619,0.181328,0.030651
1,4,8000,500,1.000000,0.337246,0.183346,0.031209
2,4,8000,500,1.000000,0.332693,0.176830,0.030713
0,8,8000,500,1.000000,0.336226,0.184689,0.030557
1,8,8000,500,1.000000,0.333705,0.181219,0.032489
2,8,8000,500,1.000000,0.336655,0.179502,0.030218
0,16,8000,500,1.000000,0.334653,0.185716,0.031263
1,16,8000,500,1.000000,0.336556,0.180115,0.030414
2,16,8000,500,1.000000,0.332726,0.178929,0.030392
